geometry_id,mesh_id,clscale,clmax,mesh_filepath
spheroid_rx_9.924_rz_2.46,spheroid_rx_9.924_rz_2.46_NTheta_0,,,
spheroid_rx_5.361_rz_6.093,spheroid_rx_5.361_rz_6.093_NTheta_0,,,
spheroid_rx_2.095_rz_1.372,spheroid_rx_2.095_rz_1.372_NTheta_0,,,
spheroid_rx_0.927_rz_7.191,spheroid_rx_0.927_rz_7.191_NTheta_0,,,
spheroid_rx_5.493_rz_1.094,spheroid_rx_5.493_rz_1.094_NTheta_0,,,
spheroid_rx_3.996_rz_9.788,spheroid_rx_3.996_rz_9.788_NTheta_0,,,
spheroid_rx_2.375_rz_8.346,spheroid_rx_2.375_rz_8.346_NTheta_0,,,
spheroid_rx_2.169_rz_1.679,spheroid_rx_2.169_rz_1.679_NTheta_0,,,
spheroid_rx_4.958_rz_5.881,spheroid_rx_4.958_rz_5.881_NTheta_0,,,
spheroid_rx_8.089_rz_0.8,spheroid_rx_8.089_rz_0.8_NTheta_0,,,
spheroid_rx_3.218_rz_6.152,spheroid_rx_3.218_rz_6.152_NTheta_0,,,
spheroid_rx_2.206_rz_2.544,spheroid_rx_2.206_rz_2.544_NTheta_0,,,
spheroid_rx_6.654_rz_0.576,spheroid_rx_6.654_rz_0.576_NTheta_0,,,
spheroid_rx_6.268_rz_4.569,spheroid_rx_6.268_rz_4.569_NTheta_0,,,
spheroid_rx_3.3_rz_0.634,spheroid_rx_3.3_rz_0.634_NTheta_0,,,
spheroid_rx_0.761_rz_6.532,spheroid_rx_0.761_rz_6.532_NTheta_0,,,
spheroid_rx_0.563_rz_2.501,spheroid_rx_0.563_rz_2.501_NTheta_0,,,
spheroid_rx_0.812_rz_5.719,spheroid_rx_0.812_rz_5.719_NTheta_0,,,
spheroid_rx_8.297_rz_5.494,spheroid_rx_8.297_rz_5.494_NTheta_0,,,
spheroid_rx_8.965_rz_9.063,spheroid_rx_8.965_rz_9.063_NTheta_0,,,
spheroid_rx_8.734_rz_4.012,spheroid_rx_8.734_rz_4.012_NTheta_0,,,
spheroid_rx_0.597_rz_6.597,spheroid_rx_0.597_rz_6.597_NTheta_0,,,
spheroid_rx_0.217_rz_4.12,spheroid_rx_0.217_rz_4.12_NTheta_0,,,
spheroid_rx_7.582_rz_6.588,spheroid_rx_7.582_rz_6.588_NTheta_0,,,
spheroid_rx_3.754_rz_5.784,spheroid_rx_3.754_rz_5.784_NTheta_0,,,
spheroid_rx_4.96_rz_3.749,spheroid_rx_4.96_rz_3.749_NTheta_0,,,
spheroid_rx_7.515_rz_0.056,spheroid_rx_7.515_rz_0.056_NTheta_0,,,
spheroid_rx_5.547_rz_6.58,spheroid_rx_5.547_rz_6.58_NTheta_0,,,
spheroid_rx_9.978_rz_6.134,spheroid_rx_9.978_rz_6.134_NTheta_0,,,
spheroid_rx_7.0_rz_0.546,spheroid_rx_7.0_rz_0.546_NTheta_0,,,
spheroid_rx_0.155_rz_3.435,spheroid_rx_0.155_rz_3.435_NTheta_0,,,
spheroid_rx_5.317_rz_1.168,spheroid_rx_5.317_rz_1.168_NTheta_0,,,
spheroid_rx_1.233_rz_8.212,spheroid_rx_1.233_rz_8.212_NTheta_0,,,
spheroid_rx_9.216_rz_2.44,spheroid_rx_9.216_rz_2.44_NTheta_0,,,
spheroid_rx_4.017_rz_3.537,spheroid_rx_4.017_rz_3.537_NTheta_0,,,
spheroid_rx_4.206_rz_2.496,spheroid_rx_4.206_rz_2.496_NTheta_0,,,
spheroid_rx_5.149_rz_9.158,spheroid_rx_5.149_rz_9.158_NTheta_0,,,
spheroid_rx_6.534_rz_9.166,spheroid_rx_6.534_rz_9.166_NTheta_0,,,
spheroid_rx_5.593_rz_1.72,spheroid_rx_5.593_rz_1.72_NTheta_0,,,
spheroid_rx_0.972_rz_6.579,spheroid_rx_0.972_rz_6.579_NTheta_0,,,
spheroid_rx_4.431_rz_6.142,spheroid_rx_4.431_rz_6.142_NTheta_0,,,
spheroid_rx_8.516_rz_0.803,spheroid_rx_8.516_rz_0.803_NTheta_0,,,
spheroid_rx_1.878_rz_9.051,spheroid_rx_1.878_rz_9.051_NTheta_0,,,
spheroid_rx_9.022_rz_4.294,spheroid_rx_9.022_rz_4.294_NTheta_0,,,
spheroid_rx_7.745_rz_8.812,spheroid_rx_7.745_rz_8.812_NTheta_0,,,
spheroid_rx_1.409_rz_3.559,spheroid_rx_1.409_rz_3.559_NTheta_0,,,
spheroid_rx_1.638_rz_6.468,spheroid_rx_1.638_rz_6.468_NTheta_0,,,
spheroid_rx_5.913_rz_8.901,spheroid_rx_5.913_rz_8.901_NTheta_0,,,
spheroid_rx_2.975_rz_9.617,spheroid_rx_2.975_rz_9.617_NTheta_0,,,
spheroid_rx_4.945_rz_2.626,spheroid_rx_4.945_rz_2.626_NTheta_0,,,
spheroid_rx_1.9_rz_4.256,spheroid_rx_1.9_rz_4.256_NTheta_0,,,
spheroid_rx_9.068_rz_0.719,spheroid_rx_9.068_rz_0.719_NTheta_0,,,
